1:1   package "package"
57:15 STRING  "\"symbol precision mismatch\""
57:42 )       ""
57:43 ;       "\n"
58:5  }       ""
58:6  ;       "\n"
60:5  if      "if"
60:8  IDENT   "quantity"
60:16 .       ""
60:17 IDENT   "amount"
60:24 >       ""
60:26 IDENT   "ptr"
60:29 .       ""
60:30 IDENT   "get"
60:33 (       ""
60:34 STRING  "\"max_supply.amount\""
60:53 )       ""
60:55 -       ""
60:57 IDENT   "ptr"
60:60 .       ""
60:61 IDENT   "get"
60:64 (       ""
60:65 STRING  "\"supply.amount\""
60:80 )       ""
60:81 {       ""
61:9  IDENT   "panic"
61:14 (       ""
61:15 STRING  "\"quantity exceeds available supply\""
61:50 )       ""
61:51 ;       "\n"
62:5  }       ""
62:6  ;       "\n"
63:5  IDENT   "ptr"
63:8  .       ""
63:9  IDENT   "modify"
63:15 (       ""
63:16 STRING  "\"supply\""
63:24 ,       ""
63:25 IDENT   "ptr"
63:28 .       ""
63:29 IDENT   "get"
63:32 (       ""
63:33 STRING  "\"supply\""
63:41 )       ""
63:42 +       ""
63:43 IDENT   "quantity"
63:51 )       ""
63:52 ;       "\n"
64:5  IDENT   "add_balance"
64:16 (       ""
64:17 IDENT   "ptr"
64:20 .       ""
64:21 IDENT   "get"
64:24 (       ""
64:25 STRING  "\"issuer\""
64:33 )       ""
64:34 ,       ""
64:35 IDENT   "quantity"
64:43 ,       ""
64:44 IDENT   "ptr"
64:47 .       ""
64:48 IDENT   "get"
64:51 (       ""
64:52 STRING  "\"issuer\""
64:60 )       ""
64:61 )       ""
64:62 ;       "\n"
65:1  }       ""
65:2  ;       "\n"
68:1  table   "table"
68:7  IDENT   "account"
68:14 {       ""
69:5  IDENT   "easset"
69:12 IDENT   "balance"
69:20 ;       "\n"
70:5  IDENT   "index"
70:11 IDENT   "asset_to_index"
70:25 (       ""
70:26 IDENT   "balance"
70:33 )       ""
70:34 ;       "\n"
71:1  }       ""
71:2  ;       "\n"
72:1  table   "table"
72:7  IDENT   "currency_stats"
72:21 {       ""
73:5  IDENT   "easset"
73:12 IDENT   "supply"
73:18 ;       "\n"
74:5  IDENT   "easset"
74:12 IDENT   "max_supply"
74:22 ;       "\n"
75:5  IDENT   "ename"
75:11 IDENT   "issuer"
75:17 ;       "\n"
76:5  IDENT   "index"
76:11 IDENT   "asset_to_index"
76:25 (       ""
76:26 IDENT   "balance"
76:33 )       ""
76:34 ;       "\n"
77:1  }       ""
77:2  ;       "\n"
78:1  IDENT   "createTable"
78:12 (       ""
78:13 IDENT   "account"
78:20 ,       ""
78:21 STRING  "\"accounts\""
78:31 )       ""
78:32 ;       "\n"
79:1  IDENT   "createTable"
79:12 (       ""
79:13 IDENT   "currency_stats"
79:27 ,       ""
79:28 STRING  "\"stat\""
79:34 )       ""
79:35 ;       "\n"
